WaveYear,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q23,Q24,Q25,Q26,Q27,Q28,Q29_1,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q31_NPS_GROUP,Q31,Q33_1,Q33_2,Q33_3,Q33_4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q17,Q9 - Parent Topics
,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2011""}","{""ImportId"":""QID2012""}","{""ImportId"":""QID2013""}","{""ImportId"":""QID2014""}","{""ImportId"":""QID2015""}","{""ImportId"":""QID2016_TEXT""}","{""ImportId"":""QID2017_1""}","{""ImportId"":""QID2017_4""}","{""ImportId"":""QID2017_5""}","{""ImportId"":""QID2017_6""}","{""ImportId"":""QID2017_7""}","{""ImportId"":""QID2017_8""}","{""ImportId"":""QID2019_NPS_GROUP""}","{""ImportId"":""QID2019""}","{""ImportId"":""QID2021_1""}","{""ImportId"":""QID2021_2""}","{""ImportId"":""QID2021_3""}","{""ImportId"":""QID2021_4""}",,,,,,,"{""ImportId"":""QID2005""}","{""ImportId"":""QID8_TEXT_98d09e12885144e18ddbbbc2ParTopics""}"
5,10/11/2020 16:03,10/11/2020 16:10,0,129.244.143.32,100,400,1,10/11/2020 16:10,R_3oMahw6xlFmHotW,,,,,36.1493072509765625,-95.94989777,anonymous,EN,1,2,1,3,1,Computer Science,3,1,0,4,3,7,3,9,,,,,0.72,1,0.87,0.77,0.7,0.73,2,
5,10/11/2020 16:04,10/11/2020 16:10,0,98.235.202.195,100,371,1,10/11/2020 16:10,R_3EoHH3NS78vqwI6,,,,,40.178802490234375,-77.00469971,qr,EN,1,1,1,3,3,Computer science,5,3,3,5,3,6,3,10,,,,,0.79,1,1,0.67,1,1,2,
5,10/11/2020 16:03,10/11/2020 16:10,0,69.57.194.231,100,428,1,10/11/2020 16:10,R_rqC8FVMWGp83dyV,,,,,42.5243072509765625,-92.44789886,anonymous,EN,1,1,1,3,3,Computer Science,1,3,1,4,0,,2,8,,,,,0.9,1,0.91,0.9,1,1,2,
5,10/11/2020 16:03,10/11/2020 16:11,0,68.102.26.238,100,450,1,10/11/2020 16:11,R_3jUrCPw3kdrZrZj,,,,,39.191802978515625,-96.58180237,anonymous,EN,1,2,2,1,1,computer science,,,,2,,,2,8,,,,,0.1,0.1,0.2,0.11,0.11,0.12,2,
5,10/11/2020 16:03,10/11/2020 16:11,0,97.81.186.168,100,508,1,10/11/2020 16:11,R_2zA9cLWLylNKppw,,,,,36.217803955078125,-85.54229736,qr,EN,1,2,1,3,3,,7,4,1,5,7,7,3,9,,,,,0.5,0.55,0.56,0.64,0.64,0.51,2,
5,10/11/2020 16:04,10/11/2020 16:11,0,150.201.170.181,100,454,1,10/11/2020 16:11,R_1FyT6qN0bB1yXZa,,,,,37.31750488,-89.54589844,anonymous,EN,1,2,1,3,1,Cybersecurity,3,4,0,3,6,4,1,4,,,,,0.82,0.82,0.91,0.9,0.88,0.89,2,
5,10/11/2020 16:03,10/11/2020 16:11,0,108.16.118.205,100,496,1,10/11/2020 16:11,R_1JLwGGLKZjjihHh,,,,,39.9842987060546875,-75.22660065,anonymous,EN,1,2,1,3,1,computing and security technology,4,1,1,3,7,2,3,9,,,,,0.92,0.81,1,0.88,0.9,0.78,2,
5,10/11/2020 16:02,10/11/2020 16:11,0,97.81.186.168,100,555,1,10/11/2020 16:11,R_aWuDFzhv4iSUvNT,,,,,36.217803955078125,-85.54229736,qr,EN,1,2,1,2,3,Computer Science,1,3,,2,0,2,3,10,,,,,0.8,1,0.5,1,0.76,1,2,
5,10/11/2020 16:03,10/11/2020 16:12,0,72.210.99.140,100,515,1,10/11/2020 16:12,R_3Kq1dm2KUh0B01E,,,,,36.11749267578125,-95.81960297,anonymous,EN,1,2,1,4,4,Comptuer Science,7,2,3,5,3,3,2,7,,,,,0.7,1,1,0.8,0.6,1,2,
5,10/11/2020 16:02,10/11/2020 16:12,0,92.119.17.31,100,595,1,10/11/2020 16:12,R_3HTTvCWK5nBnegm,,,,,33.748504638671875,-84.38710022,qr,EN,1,2,1,2,1,Computer Science,7,5,1,5,7,7,3,10,,,,,0.9,0.9,1,0.74,0.76,0.76,2,
