ResponseId,Q3,Q5,Q6,Q7,Q8,Q9,Q11,Q12,Q15,Q16,Q30,Q9 - Topics
R_1dFHqgsM6DnWZJ4,,,,cyber,cyber,cyber,what,none,hack bro,hack,1,Unknown
R_2tthA04ndMoSSaF,Being careful with scans as their are likely systems that could be destroyed by simply nmapping them,Basically anything that was good for me I knew was likely bad for them.,Thats why I have 3+ years of xp,cyber,cyber,cyber,Finding as many ways to get into as many of the systems that we could,How to do what I said,what even is this question,what even is this question,1,Unknown
R_UuvWfV6SmfDCPw5,Auto login on .50 machine,"There were plenty of issues, mantis bug tracker was big and rocketchat",Enumeration and tools,A lot ,We made good analytical decisions,Analysis ,Average,Penetration testing,Red team metodology,"Recon, enumeration, exploitation",1,Unknown
R_Dr6CEhZqW59TeuZ,Outdated web service: Mantis Bug Tracker,Researched the software and its associated vulnerabilities,Investigated the page source for a version number and trying the exploit,"Reading the CVE, developing an exploit or using pre-made exploit code","Running the exploit would change the admin password which would lock the admin out, but it was in scope so there was no reason not to do it",,,,,,1,
R_2zHEAmoDoGu3lKH,,,,,,,,,,,1,
R_2PpANxbt8ztO0kV,weak passwords,users were reusing passwords,,access user accounts to verify i could access them,,i tried suggested company passwords,Veridy the security of the company,Vieewed usual company downfalls such as employees having weak passwords ,i tried until i succeded finding an attack,discussed with teammates,1,Unknown
R_1DzON6VEo7j3Jmw,The PLC systems were openly available and could be interacted with and the resulting failures and crashing it.,I googled the hell out PLC,I couldn’t ,Could read data as well as send code. It was the only problem I worked on but couldn’t understand much,Based on the phone calls we got and how angry the client was,I used a python module to interact with it but never got to the desired state,The system was originally operating normally and we need to gain access to it.,Planned for in case the service crashed.,Research (google) and prepared apology statement,Attempted to manipulate the stack but crashed. Apologized a lot.,1,Unknown
R_2y1KNi3F1P9kZdE,The security situation was lax security and professional policies in the organization. There were some outdated systems but the chat that the organization used had many policy violations. We commonly used information from the chat to further attack the network.,From what I observe some of the environment was very structured which were the mission critical services like SCADA. Otherwise it we identified issues with scanning and looking for methods of getting in to devices. Other devices had default creds. I understood that the environment had a variety of security posture.,Identifying it's services and applying scanning and testing for vulnerabilities,System tools from windows and available programs from kali,I evaluated based on what was likely to gain more persistence and sensitive information,Based on what was easiest way to completing my objective,"Outdated systems, lax security, lax policies.",Plan to learn and understand how the network works. Find ways to gain access to system and gather information without interrupting services.,"Scanning, documenting, testing and documenting.","Scanning, documenting, testing and moving through the objective.",1,Unknown
R_OsayGRcjv6OU6ad,"password reuse was very prevelant in the entire network. Additionally, no passwords were set on many of the critical systems. we were able to succesfulkly log onto a control system without a password.","We gained access to the system, wrote it up in our report, and left the control system alone, while enumerating the system for PII and ways to pivot onto more critical systems.",nmap scans,we could have completely destroyed the entire operation,We chose the ethical route and left the system alone,testing the backup-security measurements on the control system if the system were tampered with was not part of our testing,"Some systems were very fragile, while others were not. ","scanning, exploitation, persistence, privilege escalation",,scanning and exploitation,1,Unknown
R_UJQUnUEW8u3ddpD,Weak website security allowed me to simulate exploits on the site.,I used new tools for the first time to find/scan for vulnerabilities.,Using another tool to simulate exploits,"This was my first experience and have never learned cyber security formally, so I don’t know what my options were.","I don’t know since I’ve never had formal experience/education in cyber security, so I think I had limited options I could use as a resource.",It was one of the recommended tools to use. ,"Weak security systems, allowing individuals to have access with authentication.","For me, I was focused on the website.",Recon by scanning for vulnerabilities then attempting to see if there’s a way to exploit those vulnerabilities.,"Nikhto, BeEF, ZAP",1,Unknown
